job_name,company_add,month,salary_min,salary_max,record,company_name,company_type,scope,tag,welfare
微软人工智能MSAI组热招资深软件工程师,北京,4,45000,65000,硕士,微软中国,计算机软件,10000人以上,Python，数据结构，IT服务，人工智能，英文听说读写,员工旅游，带薪年假，零食下午茶，餐补，按摩推拿，健身房，股票期权，定期体检，免费班车，补充医疗保险，节日福利，洗衣房，年终奖，不打卡，五险一金
AI算法/人脸识别方向深度学习,广州,12,20000,40000,本科,网龙,移动互联网,1000-9999人,深度学习算法，算法设计，人脸识别，AI算法,带薪年假，免费班车，节日福利，年终奖，零食下午茶，五险一金，定期体检，加班补助
嵌入式软件开发（人工智能/人脸识别/视觉）,上海,1,15000,25000,本科,格灵深瞳,计算机软件,100-499人,多线程，网络协议，网络编程，嵌入式技术，音视频编解码，Linux，QT，OpenCV,年终奖，零食下午茶，股票期权，定期体检，补充医疗保险，餐补，带薪年假，五险一金，交通补助，免费班车
AI 人工智能训练师 主管,上海,3,14000,20000,本科,艾格拉,企业服务,1000-9999人,自然语言处理，人工智能，数据标注，店小蜜,定期体检，带薪年假，节日福利，交通补助，餐补，员工旅游，零食下午茶，五险一金，加班补助
人工智能中台-高级后端工程师,武汉,2,15000,30000,本科,云粒智慧,移动互联网,500-999人,Python，服务器配置，Spring，团队管理,股票期权，节日福利，五险一金，带薪年假，年终奖，补充医疗保险，定期体检，零食下午茶，商业保险
资深java开发工程师(人工智能-图像),北京,11,25000,40000,本科,网易,移动互联网,10000人以上,Java,全勤奖，五险一金，补充医疗保险，带薪年假，包吃，节日福利，年终奖，免费班车，定期体检
大数据平台AI(人工智能)研发工程师,广州,12,12000,24000,本科,联通(广东)产业互联网,移动互联网,1000-9999人,Java,餐补，年终奖，免费班车，交通补助，节日福利，补充医疗保险，零食下午茶，定期体检，住房补贴，包吃，七险二金，带薪年假，通讯补贴
人工智能产品经理(NLP处理平台/对话式AI),北京,4,20000,40000,本科,明略科技,互联网,1000-9999人,产品设计，TO B，需求分析，产品规划，数据分析，人工智能产品，对话产品，用户研究,年终奖，加班补助，定期体检，补充医疗保险，五险一金，带薪年假，零食下午茶，交通补助
人工智能老师,南昌,3,6000,10000,本科,江西新华,院校,10000人以上,人工智能，Python，爬虫，Python人工智能数据分析,补充医疗保险，包吃，带薪年假，员工旅游，节日福利，加班补助，定期体检，年终奖，五险一金，寒假
人工智能培训师,成都,1,10000,13000,本科,四川新华电脑学院,在线教育,10000人以上,深度学习算法，自然语言处理,员工旅游，寒假20-30天，五险一金，提供住宿，定期体检，包吃，年终奖，餐补
AI平台开发工程师,深圳,3,14000,25000,本科,华为,计算机软件,10000人以上,Python，人工智能，软件工程师，云计算，计算机软件，java，C++，算法,年终奖，节日福利，免费班车，宵夜，带薪年假，零食下午茶，加班补助，员工旅游，交通补助，补充医疗保险，股票期权，定期体检，五险一金
Java开发工程师,贵阳,4,10000,15000,本科,百讯智汇科技公司,互联网,10000人以上,人工智能，大数据,五险一金，加班补助
AI平台与组件研发工程师,成都,12,12000,24000,本科,建信金科,银行,1000-9999人,Python，Java，Go，Spring，VUE,五险一金，工会福利，餐补，员工关怀，带薪年假，补充医疗保险，年终奖，零食下午茶，定期体检，节日福利
AI平台开发工程师,北京,3,20000,35000,本科,三一重工,企业服务,10000人以上,分布式技术，多线程，容器技术，Redis，云计算，人工智能，Java，Go,提供食宿，年终奖，专利奖金，五险一金，通讯补贴，节日福利，餐补，免费班车，定期体检，带薪年假，股票期权，包吃，员工旅游
Java技术专家/高级技术专家-人工智能,北京,12,40000,70000,本科,阿里云,数据服务,10000人以上,Java,无
AI产品研发工程师,上海,12,15000,25000,本科,星环科技,互联网,1000-9999人,Java，GO,零食下午茶，股票期权，定期体检，交通补助，补充医疗保险，节日福利，五险一金，年终奖，通讯补贴，员工旅游，带薪年假
大数据开发工程师（AI部门）,广州,4,10000,15000,本科,公瑾科技,互联网,1000-9999人,Elastic，Kinaba,年终奖，带薪培训，员工旅游，定期团建，各项奖金，提供工作手机，节日福利，五险一金，股票期权，补充医疗保险，零食下午茶，带薪年假
